obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
77, 91.2, 6754, 31572, 26041, 33959, 8394, 13333, 6679, 2381, 44, 83, NA, 129113,  X
78, 93.2, 20838, 57569, 35902, 14904, 11542, 9391, 6663, 2604, 41, 81, NA, 159413,  X
79, 94.2, 1067710, 33011, 25131, 50457, 35633, 13635, 5513, 2331, 51, 90, NA, 1233421,  X
80, 95.2, 647660, 180492, 24411, 67737, 27745, 30922, 9021, 4891, 50, 78, NA, 992879,  X
81, 97.2, 164594, 41320, 40235, 25118, 4103, 9271, 5338, 3747, 50, 83, NA, 293726,  X
82, 98.2, 1081179, 600913, 69783, 37976, 25346, 24425, 9782, 4727, 26, 81, NA, 1854131,  X
83, 99.2, 170723, 140132, 36663, 55405, 19240, 15873, 7290, 2851, 23, 84, NA, 448177,  X
84, 100.1, 154526, 33153, 31302, 49331, 42918, 8968, 10718, 3142, 21, 81, NA, 334058,  X
85, 101.2, 243191, 44214, 6437, 19533, 10662, 12761, 10651, 2404, 30, 63, NA, 349853,  X
86, 102.2, 10575, 79224, 25772, 6539, 13977, 15055, 5601, 5848, 43, 67, NA, 162591,  X
87, 104.1, 139714, 112406, 56153, 47389, 53541, 38892, 7179, 4911, 51, 67, NA, 460185,  X
88, 105.2, 197131, 36853, 9843, 9973, 6537, 9385, 3260, 1828, 51, 61, NA, 274810,  X
89, 106.1, 208429, 14370, 11280, 2958, 4772, 3306, 3603, 1193, 51, 69, NA, 249911,  X
90, 108.1, 47898, 183072, 7612, 4837, 31647, 6589, 10785, 4426, 37, 47, NA, 296866,  X
91, 109.1, 68220, 8971, 8143, 2560, 353, 885, 1436, 599, 21, 44, NA, 91167,  X
92, 109.1, 3441791, 69912, 10385, 53453, 13572, 17506, 15044, 3713, 23, 44, NA, 3625376,  X
