obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
79, 97.6, 685426, 4230, 3481, 4094, 4052, 4016, 6754, 1661, 35, 93, NA, 713714,  X
80, 99.6, 77878, 22075, 4481, 3944, 2886, 5056, 3228, 2452, 41, 80, NA, 122000,  X
81, 100.5, 656392, 68722, 16110, 7836, 4225, 10671, 29073, 5442, 51, 64, NA, 798471,  X
82, 101.6, 97993, 16779, 16923, 5342, 4819, 8074, 7477, 819, 47, 66, NA, 158226,  X
83, 103.5, 673613, 255833, 24183, 36835, 20223, 22313, 16702, 9371, 37, 61, NA, 1059073,  X
84, 104.5, 177221, 57494, 2664, 5716, 2302, 6246, 10700, 794, 29, 61, NA, 263137,  X
85, 105.5, 181845, 18931, 20040, 5568, 3634, 5369, 3702, 1320, 23, 64, NA, 240409,  X
86, 107.5, 734384, 60178, 13743, 7091, 3202, 4896, 5325, 1289, 23, 67, NA, 830108,  X
87, 108.5, 524963, 45112, 5020, 15637, 18337, 8745, 9243, 10860, 26, 66, NA, 637917,  X
88, 109.5, 123533, 47307, 3502, 24683, 19756, 21430, 18112, 3291, 35, 54, NA, 261614,  X
89, 110.5, 118407, 70142, 7396, 7540, 18500, 24369, 23937, 15877, 51, 48, NA, 286168,  X
90, 111.5, 52444, 5797, 4183, 4892, 8588, 6534, 35654, 9720, 74, 60, NA, 127812,  X
91, 111.5, 85673, 36203, 4636, 12613, 30163, 23087, 20186, 9603, 87, 56, NA, 222164,  X
